Ticker,Sector,LastClose,PreviousClose,Volume,LastPrice,ChangePct,LastUpdated,PriceSource,SMA_20,SMA_50,SMA_200,EMA_20,EMA_50,RSI_14,ATR_14,ATRPct_14,MACD_Hist,Z_20,Return_20,Return_60,ADV_20,Hi_252,Lo_252,PctFromHi_252,PctToLo_252
DHC,Nguyên vật liệu,35.0,35.35,49300.0,34.75,-1.6973125884017004,2025-10-28 10:21:00,intraday,34.235,33.879,28.919695,34.28955510005773,33.53308230732786,55.507716589848634,1.2206749889681032,3.487642825623152,0.11514146824056795,0.8794815965569172,0.2865329512893977,13.268608414239491,219670.0,37.95,19.874,-7.773386034255603,76.1094897856496
DIG,Bất động sản,20.35,20.4,7100200.0,20.3,-0.4901960784313597,2025-10-28 10:21:00,intraday,21.696450000000002,21.96414,17.714895,21.87412971579623,21.477736665266143,41.583563902645786,1.1835339948819597,5.815891866741816,-0.2349182621455249,-0.9476137405405006,-4.701695232743274,6.494322047202883,21745375.0,25.1,11.802,-18.924302788844617,72.42840196576854
DPM,Nguyên vật liệu,23.5,23.6,1549800.0,23.5,-0.423728813559332,2025-10-28 10:20:00,intraday,23.75,25.502999999999997,21.579185,23.90357943117698,24.513159539455085,43.85034245505784,0.7010137403238301,2.983037192867362,0.05402313748640497,-0.39220051443531107,-6.3745019920318775,-1.484027836002344,4512615.0,29.9,15.189,-21.404682274247488,54.717229574033844
DXG,Bất động sản,20.4,20.2,3431100.0,20.35,0.7425742574257432,2025-10-28 10:21:00,intraday,20.7875,21.851,16.734955,20.988575185052916,21.08203327586168,45.34091869718201,1.052465181675947,5.159143047431113,-0.05034292698871429,-0.543186922555861,-1.449275362318847,3.5532994923857864,27842950.0,24.5,10.513,-16.73469387755102,94.04546751640825
DXS,Bất động sản,10.4,10.55,692500.0,10.45,-0.9478672985782088,2025-10-28 10:21:00,intraday,11.5775,12.349,9.05105,11.485253027409028,11.762958719758752,35.58340678061266,0.5983808202024161,5.753661732715539,-0.13454440059503037,-1.800373313692607,-15.102040816326523,-5.454545454545457,2761845.0,14.35,5.32,-27.52613240418118,95.48872180451127
EIB,Tài chính,22.5,22.45,1220100.0,22.55,0.44543429844099425,2025-10-28 10:21:00,intraday,25.1325,26.708,22.801,24.685878281257956,25.66466954929207,27.966281702874426,0.9737322660807772,4.32769896035901,-0.3407363642908543,-1.6375642679633216,-13.461538461538458,-14.122137404580148,8600070.0,31.65,15.6,-28.90995260663507,44.230769230769226
EVF,Tài chính,12.65,12.85,2195000.0,12.65,-1.5564202334630295,2025-10-28 10:21:00,intraday,13.532500000000002,13.693,11.4046,13.314907797778483,13.386466991442532,39.73083355569737,0.5072096144417153,4.009562169499726,-0.11465331555836503,-1.5828180928544866,-4.8872180451127845,-5.597014925373134,10227865.0,16.5,7.94,-23.33333333333333,59.3198992443325
FPT,Công nghệ thông tin,101.7,98.0,10043000.0,101.7,3.7755102040816446,2025-10-28 10:21:00,intraday,93.9,98.112,106.53254999999999,95.40786176092834,97.72109446203493,61.377814581273995,3.2079545091341695,3.154330884104395,1.3245044463677214,2.2099915994629997,9.354838709677416,-4.953271028037376,10320450.0,134.505,84.324,-24.38942790230846,20.606233100896553
FRT,Hàng tiêu dùng không thiết yếu,146.3,146.3,99200.0,146.4,0.06835269993163973,2025-10-28 10:21:00,intraday,137.135,133.574,139.695,139.18575828450295,137.34080754112105,60.970116242056534,4.68313992839065,3.2010525826320233,1.1253407156851738,1.1366469684384768,14.296875000000009,-5.307443365695786,649585.0,167.52,96.88,-12.667144221585481,51.011560693641634
FTS,Tài chính,35.4,34.45,732900.0,35.45,2.9027576197387495,2025-10-28 10:21:00,intraday,34.779999999999994,36.774,38.303145,34.79741343479146,36.32324812091655,50.889646478826705,1.2760711863054761,3.604720865269707,0.12718658985653253,0.4870230777961913,-1.5299026425591222,-13.341493268053862,2004990.0,46.782,30.7,-24.32987046299858,15.309446254071668
GAS,Dịch vụ tiện ích,59.6,59.3,123300.0,59.5,0.3372681281618828,2025-10-28 10:21:00,intraday,59.629999999999995,61.80124,61.81497,59.708258470105505,61.09820926703862,46.72954589444314,1.2146115199380434,2.037938791842355,0.1687573473571129,-0.02260591590943401,-1.3245033112582738,-6.336434498365595,556370.0,69.28,47.818,-13.972286374133947,24.639257183487405
GEX,Công nghiệp,49.0,48.0,9267300.0,49.2,2.5000000000000133,2025-10-28 10:21:00,intraday,55.675,54.504,36.366125000000004,54.701236957925836,53.66481688369279,37.7933404970134,3.0461041308879397,6.216539042628448,-1.243890205958623,-1.5962604206705204,-11.711711711711715,-10.96413126430933,20197150.0,65.7,15.734,-25.418569254185698,211.42748188636077
